seqnames	start	end	width	strand	Conc	Conc_MB6	Conc_Ctrl	Fold	p.value	FDR	NearestGene	DistanceToNearest
chr9	91002715	91004279	1565	*	7.67	8.02	7.21	0.81	0.000316	0.0242	SPIN1	0
chr3	5606739	5607082	344	*	5.29	5.63	4.84	0.79	0.000317	0.0243	AC026202.5	308293
chr1	33457844	33458520	677	*	6.84	7.12	6.51	0.61	0.000317	0.0243	RP1-117O3.2	0
chr11	93280989	93281277	289	*	4.39	3.74	4.84	-1.1	0.000317	0.0243	SMCO4	4315
chr1	31895432	31895946	515	*	3.93	4.4	3.24	1.16	0.000318	0.0243	SERINC2	0
chr7	152132549	152134156	1608	*	7.91	8.24	7.5	0.74	0.000319	0.0243	KMT2C; FABP5P3	0
chr17	44270056	44271716	1661	*	8.57	8.87	8.18	0.68	0.000319	0.0243	KANSL1; KANSL1-AS1	0
chr11	13369751	13370259	509	*	4	3.3	4.48	-1.17	0.00032	0.0243	ARNTL	0
chr15	100049954	100050278	325	*	3.72	2.92	4.23	-1.31	0.00032	0.0243	MEF2A	0
chr13	32883469	32883919	451	*	3.29	2.33	3.86	-1.53	0.00032	0.0243	ZAR1L	0
chr19	1904981	1905804	824	*	6.1	6.45	5.63	0.82	0.00032	0.0243	SCAMP4; ADAT3	0
chr10	106028532	106029113	582	*	3.86	4.35	3.12	1.24	0.000321	0.0243	GSTO2	0
chr6	109415527	109417020	1494	*	8.43	8.71	8.08	0.64	0.000321	0.0243	SESN1; CEP57L1	0
chr11	10955322	10955755	434	*	5.26	5.61	4.8	0.81	0.000322	0.0243	ZBED5-AS1	26973
chr6	30684848	30685589	742	*	7.79	8.06	7.45	0.61	0.000322	0.0243	MDC1	0
chr1	114301473	114302799	1327	*	7.14	7.36	6.88	0.48	0.000324	0.0245	PHTF1	0
chr19	51307487	51308642	1156	*	6.52	6.85	6.09	0.76	0.000325	0.0245	C19orf48	0
chr3	49507200	49508291	1092	*	7.53	7.81	7.18	0.63	0.000325	0.0245	DAG1	0
chr16	29874021	29875163	1143	*	6.38	6.71	5.96	0.75	0.000326	0.0246	CDIPT; CDIPT-AS1	0
chr3	145079592	145079982	391	*	3.78	3	4.28	-1.29	0.000327	0.0246	RP11-622L21.1	161342
chr16	18812301	18813399	1099	*	7.48	7.85	6.98	0.86	0.000327	0.0246	RP11-1035H13.3; ARL6IP1	0
chr9	20804915	20805210	296	*	3.06	1.95	3.68	-1.73	0.000328	0.0246	FOCAD	0
chr7	134246799	134247345	547	*	4.72	5.12	4.16	0.96	0.00033	0.0247	AKR1B15	0
chr16	15684509	15685246	738	*	6.11	6.37	5.78	0.59	0.00033	0.0248	C16orf45	0
chr6	154789611	154790184	574	*	4.75	4.21	5.14	-0.93	0.000333	0.0249	CNKSR3	0
chr16	3332535	3333749	1215	*	6.97	7.28	6.57	0.71	0.000334	0.025	ZNF263	0
chr17	34135927	34136771	845	*	6.34	6.59	6.04	0.56	0.000334	0.025	TAF15	0
chr1	112281104	112282574	1471	*	6.94	7.16	6.68	0.48	0.000335	0.025	FAM212B; RP4-773A18.4	0
chr3	52489224	52489973	750	*	5.62	5.98	5.13	0.85	0.000336	0.025	NISCH	0
chr19	50528177	50529498	1322	*	7.14	7.54	6.59	0.95	0.000337	0.0251	VRK3; ZNF473	0
chr7	73081752	73082549	798	*	5.59	5.91	5.18	0.73	0.000338	0.0251	VPS37D	0
chr15	74906958	74907486	529	*	5.55	5.86	5.14	0.72	0.000338	0.0251	CLK3; CTD-3154N5.1	0
chr4	39699146	39700247	1102	*	6.75	7.04	6.38	0.66	0.000338	0.0251	UBE2K	0
chr11	67195545	67196238	694	*	5.8	6.11	5.42	0.7	0.000339	0.0251	RPS6KB2	0
chr19	6802394	6802972	579	*	4.98	5.34	4.49	0.86	0.000339	0.0251	VAV1	0
chr11	80609972	80610320	349	*	2.83	1.66	3.47	-1.82	0.000339	0.0251	RP11-170L9.1	58039
chr16	4165732	4166900	1169	*	6.74	7.03	6.36	0.67	0.00034	0.0252	ADCY9	0
chr2	85581027	85582243	1217	*	7.05	7.28	6.76	0.52	0.000342	0.0253	RETSAT; ELMOD3	0
chr8	87066012	87066303	292	*	4.37	3.7	4.82	-1.12	0.000342	0.0253	ATP6V0D2; PSKH2	0
chr14	23770470	23771795	1326	*	8.3	8.58	7.96	0.62	0.000342	0.0253	PPP1R3E; BCL2L2	0
chr11	66405606	66406433	828	*	6.74	7.01	6.42	0.59	0.000343	0.0253	RBM4; RBM14-RBM4	0
chr2	219264136	219264742	607	*	7.02	7.34	6.6	0.74	0.000345	0.0254	CTDSP1	0
chr6	26204619	26205269	651	*	6.82	7.09	6.48	0.6	0.000345	0.0254	HIST1H4E	0
chr15	70563727	70564085	359	*	4.37	4.78	3.8	0.98	0.000345	0.0254	RP11-543G18.1	49829
chr2	4130235	4131295	1061	*	4.51	3.86	4.95	-1.09	0.000346	0.0254	RN7SL531P	52686
chr11	65101019	65101666	648	*	5.2	5.57	4.68	0.9	0.000346	0.0254	DPF2	0
chr3	186232636	186233311	676	*	5.31	4.83	5.67	-0.84	0.000346	0.0254	RP11-48F14.1	21186
chr10	38154907	38155659	753	*	4.72	4.18	5.12	-0.94	0.000346	0.0254	RP11-162G10.5	6869
chr17	7137391	7138147	757	*	5.98	6.41	5.38	1.03	0.000347	0.0254	DVL2	0
chr17	77812680	77813825	1146	*	7.14	7.53	6.59	0.95	0.000347	0.0254	CBX4	0
chrX	104940860	104941238	379	*	3.57	2.72	4.1	-1.37	0.000348	0.0254	IL1RAPL2	0
chr3	178816178	178816774	597	*	4.79	5.19	4.24	0.95	0.000348	0.0254	Y_RNA	550
chr3	195635808	195637013	1206	*	7.54	7.73	7.31	0.42	0.00035	0.0255	TNK2; TNK2-AS1	0
chr4	185782295	185782591	297	*	3.9	3.13	4.4	-1.27	0.000352	0.0256	RP11-701P16.5	5390
chr17	4046809	4047526	718	*	5.6	5.91	5.2	0.71	0.000353	0.0256	CYB5D2	0
chr3	38537570	38538360	791	*	7.01	7.27	6.71	0.56	0.000353	0.0256	EXOG	0
chr14	24583051	24584539	1489	*	8.21	8.46	7.91	0.56	0.000354	0.0256	NRL; DCAF11	0
chr16	88636242	88637398	1157	*	7.07	7.39	6.68	0.71	0.000354	0.0256	ZC3H18	0
chr15	41913192	41914417	1226	*	5.81	6.12	5.41	0.7	0.000354	0.0256	MGA	0
chr15	99317768	99318091	324	*	3.33	2.32	3.92	-1.6	0.000354	0.0256	IGF1R	0
chr11	67120650	67121515	866	*	6.28	6.61	5.85	0.76	0.000355	0.0256	POLD4; AP003419.11	0
chr20	61283351	61283721	371	*	3.79	4.29	3.04	1.24	0.000355	0.0256	SLCO4A1	0
chr22	35697344	35697859	516	*	5.11	5.47	4.63	0.84	0.000356	0.0257	TOM1	0
chr19	54693179	54695372	2194	*	9.07	9.43	8.59	0.84	0.000361	0.0261	MBOAT7; TSEN34	0
chr12	54069533	54070441	909	*	6.88	7.21	6.45	0.76	0.000362	0.0261	ATP5G2	0
chr11	62648040	62649403	1364	*	7.6	7.89	7.22	0.68	0.000363	0.0261	SLC3A2	0
chr19	42829230	42830297	1068	*	6.78	7.04	6.46	0.58	0.000363	0.0261	MEGF8	0
chr6	35435753	35436811	1059	*	7.09	7.38	6.73	0.65	0.000363	0.0261	RPL10A	0
chr5	161140185	161140518	334	*	2.94	1.77	3.58	-1.8	0.000364	0.0261	GABRA6	10586
chr7	114705964	114706549	586	*	5.37	4.93	5.71	-0.78	0.000364	0.0261	AC068610.5	0
chrX	136520331	136520628	298	*	4.85	5.22	4.34	0.88	0.000365	0.0261	RAC1P4	2788
chr17	42295624	42296773	1150	*	6.6	6.98	6.08	0.91	0.000365	0.0261	UBTF	0
chr3	54180547	54180980	434	*	3.97	4.44	3.28	1.16	0.000368	0.0263	CACNA2D3	0
chr4	165138712	165139272	561	*	3.65	2.85	4.17	-1.31	0.000369	0.0264	MARCH1	0
chr11	65837189	65838053	865	*	5.63	5.99	5.15	0.85	0.000369	0.0264	PACS1	0
chr3	161067506	161068059	554	*	5	5.37	4.51	0.86	0.00037	0.0264	SPTSSB	0
chr20	44563151	44564237	1087	*	7.04	7.46	6.44	1.02	0.00037	0.0264	PCIF1	0
chr5	59874105	59874573	469	*	4.33	3.69	4.77	-1.08	0.000372	0.0265	DEPDC1B	18165
chr20	33103745	33104735	991	*	5.5	5.81	5.11	0.7	0.000372	0.0265	DYNLRB1	0
chr12	114300911	114301407	497	*	5.5	5.83	5.07	0.76	0.000373	0.0265	RBM19	0
chr11	65430057	65431022	966	*	6.35	6.71	5.86	0.85	0.000375	0.0267	RELA	0
chr19	16308307	16309154	848	*	6.13	6.45	5.7	0.75	0.000376	0.0267	AP1M1	0
chr1	16839845	16840700	856	*	6.15	6.51	5.66	0.85	0.000376	0.0267	RNU1-1	0
chr1	93297337	93298274	938	*	6.96	7.25	6.6	0.65	0.000377	0.0267	RPL5	0
chr4	176201782	176202239	458	*	5.49	5.09	5.8	-0.71	0.000378	0.0267	RP11-287F9.1	5516
chrY	16937461	16937939	479	*	3.57	2.72	4.1	-1.38	0.000378	0.0267	NLGN4Y	0
chr2	216781128	216781585	458	*	5.26	4.81	5.6	-0.79	0.000378	0.0267	AC093382.1	22445
chr19	10216407	10217340	934	*	5.97	6.28	5.57	0.71	0.000379	0.0268	PPAN-P2RY11; PPAN	0
chr12	6832894	6833905	1012	*	6.39	6.67	6.04	0.63	0.00038	0.0268	COPS7A	0
chr6	36647824	36648531	708	*	6.73	7.11	6.21	0.9	0.000381	0.0268	CDKN1A	0
chr12	46765953	46766343	391	*	5.12	5.5	4.62	0.88	0.000381	0.0268	SLC38A2; RP11-474P2.2	0
chr22	50329643	50330133	491	*	4.28	4.7	3.69	1.01	0.000382	0.0268	CRELD2	8455
chr15	44828603	44829986	1384	*	7.38	7.6	7.13	0.47	0.000382	0.0268	EIF3J-AS1; EIF3J	0
chr19	51014158	51015068	911	*	6.59	6.84	6.29	0.55	0.000383	0.0269	JOSD2; ASPDH	0
chr6	16128901	16130162	1262	*	7.65	7.97	7.23	0.74	0.000384	0.0269	MYLIP	0
chr12	114403816	114404431	616	*	6.55	6.82	6.21	0.61	0.000384	0.0269	RBM19	0
chr1	31627476	31628678	1203	*	6.4	6.71	6	0.71	0.000385	0.027	NKAIN1	23913
chr5	156698759	156699268	510	*	5.85	5.5	6.13	-0.63	0.000386	0.027	CYFIP2	0
chr9	5857946	5858289	344	*	4.03	4.5	3.33	1.17	0.000387	0.0271	AK4P4	1520
chr8	30730429	30730718	290	*	2.51	1.11	3.21	-2.11	0.000387	0.0271	TEX15	0
chr15	43622095	43623139	1045	*	6.06	6.33	5.72	0.61	0.000388	0.0271	LCMT2; ADAL	0
chr10	54412196	54412909	714	*	4.62	4	5.04	-1.04	0.000389	0.0271	RP11-556E13.1	0
chr12	16986391	16986665	275	*	2.54	1.19	3.22	-2.04	0.000389	0.0271	RP11-239A17.1	45612
chr19	36394448	36394930	483	*	5.99	6.34	5.52	0.82	0.000389	0.0271	HCST	0
chr20	8516612	8516866	255	*	2.12	0.44	2.88	-2.44	0.00039	0.0271	PLCB1	0
chr17	71128408	71128895	488	*	4.24	3.59	4.69	-1.1	0.000391	0.0272	POLR3KP2	30278
chr6	34359499	34360922	1424	*	7.75	8.03	7.41	0.62	0.000392	0.0272	NUDT3; RPS10-NUDT3	0
chr2	9258608	9259140	533	*	3.24	2.27	3.82	-1.55	0.000392	0.0272	RP11-734K21.3	1595
chr3	163278973	163279477	505	*	4.85	4.35	5.23	-0.87	0.000394	0.0273	AC104637.1	44698
chr19	18402087	18403306	1220	*	6.62	6.97	6.17	0.81	0.000394	0.0273	RPL39P38	5782
chr17	7210106	7211337	1232	*	7.17	7.59	6.59	1	0.000395	0.0273	EIF5A	0
chr13	66796337	66796577	241	*	3.19	2.18	3.78	-1.59	0.000396	0.0273	MIR4704	3881
chr19	47615312	47616894	1583	*	7.16	7.48	6.74	0.74	0.000397	0.0274	ZC3H4; SAE1	0
chr19	18058261	18059348	1088	*	6.77	7.19	6.16	1.02	0.000398	0.0274	KCNN1	2753
chr3	153161743	153162024	282	*	2.37	0.91	3.07	-2.16	0.000398	0.0274	RP11-23D24.2	0
chr19	54960024	54960996	973	*	6.67	7.05	6.15	0.9	0.000399	0.0275	LENG8-AS1; LENG8	0
chr1	144533589	144534549	961	*	6.99	7.24	6.7	0.54	4e-04	0.0275	RNU1-59P	0
chr3	52748989	52749376	388	*	4.12	4.56	3.49	1.07	4e-04	0.0275	NEK4	0
chr5	24397630	24398240	611	*	3.87	3.14	4.36	-1.22	0.000401	0.0275	CTD-2074D8.1	44078
chr11	119404638	119405123	486	*	4.76	5.17	4.19	0.99	0.000401	0.0275	USP2-AS1	7264
chr3	167068101	167068362	262	*	2.87	1.6	3.53	-1.93	0.000402	0.0276	ZBBX	0
chr11	44835102	44835440	339	*	3.57	2.77	4.08	-1.31	0.000403	0.0276	TSPAN18	0
chr15	57616524	57616911	388	*	4.5	4.92	3.93	0.99	0.000403	0.0276	RP11-358M11.3	418
chr7	99746188	99746878	691	*	6.86	7.15	6.49	0.67	0.000404	0.0276	LAMTOR4	0
chr19	10613200	10614211	1012	*	6.59	6.98	6.07	0.91	0.000404	0.0276	KEAP1	0
chr4	6675474	6676395	922	*	6.72	7.04	6.3	0.74	0.000406	0.0277	RP11-539L10.3; AC093323.3	0
chr9	72437178	72437650	473	*	5.77	6.07	5.39	0.69	0.000406	0.0277	C9orf135	0
chr5	173314597	173315592	996	*	7.54	7.73	7.32	0.41	0.000407	0.0277	CPEB4	0
chr16	2264344	2265478	1135	*	7.38	7.71	6.95	0.75	0.000408	0.0278	PGP	0
chrY	58827240	58827457	218	*	4.75	5.12	4.25	0.87	0.000409	0.0278	CTBP2P1	173933
chr2	108375901	108376617	717	*	4.67	4.08	5.08	-1	0.00041	0.0278	GACAT1	0
chr19	55770082	55770997	916	*	7.46	7.8	7.01	0.79	0.00041	0.0278	PPP6R1	0
chr18	77438967	77440296	1330	*	8.23	8.5	7.91	0.59	0.00041	0.0278	RP11-567M16.3; CTDP1	0
chr19	12900552	12901308	757	*	7.14	7.49	6.67	0.83	0.000411	0.0279	HOOK2	0
chr1	207536623	207536963	341	*	3.37	3.95	2.39	1.56	0.000412	0.0279	CD55	2312
chr6	42017961	42018672	712	*	6.71	7.02	6.32	0.7	0.000413	0.0279	CCND3; TAF8	0
chr6	34855484	34856174	691	*	5.73	6.02	5.36	0.66	0.000413	0.0279	TAF11	0
chr5	135585434	135585972	539	*	4.08	4.56	3.36	1.2	0.000414	0.028	TRPC7	0
chr22	20307243	20307954	712	*	5.71	6.14	5.11	1.03	0.000415	0.028	DGCR6L	0
chr1	36851051	36851925	875	*	7.09	7.41	6.68	0.73	0.000416	0.0281	STK40	0
chr1	59248856	59250233	1378	*	8.27	8.51	7.98	0.53	0.000416	0.0281	JUN	0
chr11	71823122	71824132	1011	*	6.97	7.23	6.65	0.58	0.000417	0.0281	ANAPC15	0
chr14	100704660	100705877	1218	*	8.27	8.57	7.87	0.7	0.000417	0.0281	RP11-638I2.4; YY1	0
chr3	135569992	135570702	711	*	4.72	5.13	4.16	0.97	0.000418	0.0281	U8	51370
chr2	208176045	208176623	579	*	6.57	6.83	6.26	0.57	0.000419	0.0281	AC007879.5	0
chr1	85551100	85551472	373	*	3.49	2.59	4.03	-1.44	0.000419	0.0281	WDR63	0
chr2	82498220	82498513	294	*	2.82	1.66	3.46	-1.81	0.00042	0.0282	AC105761.1	1169
chrY	28816980	28817657	678	*	4.48	4.9	3.89	1.01	0.00042	0.0282	PARP4P1	36181
chr20	42085807	42087407	1601	*	7.27	7.62	6.8	0.81	0.000421	0.0282	SRSF6	0
chr13	52025716	52028008	2293	*	8.57	8.91	8.14	0.77	0.000421	0.0282	INTS6; INTS6-AS1	0
chr22	23483918	23484615	698	*	5.15	5.52	4.65	0.87	0.000423	0.0282	RTDR1	0
chr5	134260158	134260383	226	*	6.57	6.92	6.12	0.79	0.000423	0.0282	PCBD2; MTND6P4; MTND5P11	0
chr12	68772949	68773410	462	*	4.46	3.9	4.86	-0.96	0.000424	0.0283	RP11-81H14.2	0
chr9	76802388	76802733	346	*	2.46	1.11	3.15	-2.04	0.000428	0.0285	RP11-171A24.2	183713
chr1	194447139	194447376	238	*	2.85	1.73	3.47	-1.74	0.000428	0.0285	RNU6-983P	9856
chr17	30668630	30669398	769	*	5.63	5.98	5.16	0.82	0.000428	0.0285	RP11-227G15.3; C17orf75	0
chr11	102556550	102556829	280	*	3.45	2.57	3.99	-1.42	0.000429	0.0285	RP11-817J15.3	1906
chr2	78900149	78900479	331	*	4.05	3.34	4.53	-1.18	0.000429	0.0285	AC092660.1	73617
chr5	177609172	177609752	581	*	3.94	3.13	4.46	-1.33	0.000431	0.0286	GMCL1P1	2967
chr2	135541466	135541791	326	*	3.77	4.26	3.01	1.25	0.000433	0.0287	AC016725.4	0
chr2	62932162	62933560	1399	*	8.13	8.32	7.91	0.41	0.000434	0.0287	EHBP1	0
chr3	156806404	156807900	1497	*	8.53	8.7	8.34	0.36	0.000434	0.0287	LINC00880; LINC00881	0
chr6	123305417	123305916	500	*	5.21	4.77	5.54	-0.77	0.000435	0.0288	CLVS2	11199
chr10	54463627	54464044	418	*	3.6	2.69	4.15	-1.46	0.000436	0.0288	RP11-556E13.1	0
chr18	57566651	57567932	1282	*	8.08	8.31	7.8	0.5	0.000436	0.0288	PMAIP1	0
chr12	49658160	49659521	1362	*	6.78	7.13	6.31	0.81	0.000437	0.0288	TUBA1C; RP11-977B10.2; RP11-161H23.5	0
chr18	74813324	74814214	891	*	6.85	7.06	6.61	0.45	0.000438	0.0288	MBP	0
chr10	104401847	104402371	525	*	6.44	6.74	6.06	0.68	0.000439	0.0288	RP11-47A8.5	177
chr17	899683	900747	1065	*	6.5	6.76	6.18	0.58	0.000439	0.0288	TIMM22	0
chr19	39926296	39926990	695	*	5.99	6.36	5.48	0.88	0.000439	0.0288	RPS16; SUPT5H	0
chr15	63449115	63450095	981	*	6.43	6.68	6.14	0.53	0.000439	0.0288	RPS27L	0
chr20	62504740	62505337	598	*	5.41	5.71	5.01	0.7	0.00044	0.0288	TPD52L2	0
chr4	134078976	134079343	368	*	4.04	3.36	4.49	-1.13	0.000441	0.0289	PCDH10	0
chr3	73159833	73160203	371	*	4.86	5.23	4.36	0.87	0.000442	0.029	RNU2-64P	0
chr3	76674440	76674884	445	*	2.9	1.67	3.55	-1.88	0.000444	0.029	ROBO2	0
chr15	41575827	41576567	741	*	6.2	6.51	5.8	0.71	0.000445	0.0291	OIP5-AS1	0
chr19	13371918	13372420	503	*	3.95	4.39	3.31	1.09	0.000446	0.0291	CACNA1A	0
chr9	35657637	35658830	1194	*	7.2	7.5	6.83	0.67	0.000446	0.0291	RMRP; CCDC107	0
chr19	46405595	46406479	885	*	6.58	6.93	6.13	0.8	0.000448	0.0292	MYPOP	0
chr11	64851094	64852174	1081	*	5.87	6.19	5.45	0.73	0.000449	0.0292	CDCA5; ZFPL1	0
chr7	61967386	61967683	298	*	5.34	5.66	4.93	0.73	0.000451	0.0294	RP11-715L17.1	145200
chr3	39424670	39426055	1386	*	8.37	8.54	8.18	0.36	0.000451	0.0294	SLC25A38	0
chr1	155657882	155659126	1245	*	6.18	6.51	5.76	0.74	0.000453	0.0294	MSTO1; MSTO2P; YY1AP1; DAP3	0
chr12	123458844	123460075	1232	*	7.13	7.36	6.86	0.5	0.000456	0.0296	ABCB9; OGFOD2; RP11-197N18.2	0
chr2	141172690	141173131	442	*	3.6	2.83	4.1	-1.27	0.000457	0.0296	LRP1B	0
chr1	211751067	211753279	2213	*	9.26	9.42	9.09	0.34	0.000458	0.0297	SLC30A1	0
chr6	24720313	24722083	1771	*	8.64	8.91	8.32	0.58	0.000458	0.0297	C6orf62	0
chr10	134330729	134331189	461	*	4.58	4.99	4.02	0.97	0.000458	0.0297	RP11-432J24.5	0
chr2	9695387	9696662	1276	*	7.63	7.83	7.4	0.44	0.00046	0.0297	ADAM17; RP11-214N9.1	0
chr16	11405572	11405983	412	*	4.66	5.08	4.06	1.02	0.00046	0.0297	RMI2	0
chr15	64385811	64386612	802	*	6.72	7	6.38	0.61	0.00046	0.0297	FAM96A; SNX1	0
chr6	77162152	77162626	475	*	3.24	2.23	3.83	-1.6	0.000462	0.0298	RNU6-261P	5346
chr8	21776650	21777583	934	*	7.12	7.42	6.75	0.67	0.000463	0.0299	XPO7	0
chr14	103477280	103477736	457	*	4.26	4.69	3.65	1.04	0.000464	0.0299	CDC42BPB	0
chr19	59084046	59085158	1113	*	7.94	8.23	7.58	0.65	0.000465	0.0299	AC016629.8; MZF1; RPL23AP79	0
chr11	59333239	59334005	767	*	6.87	7.08	6.62	0.46	0.000466	0.03	AP000442.4	0
chr12	80481695	80481982	288	*	2.75	1.49	3.41	-1.92	0.000467	0.03	RP11-244J10.1	14693
chr22	45559284	45560052	769	*	6.01	6.36	5.54	0.82	0.000467	0.03	CTA-217C2.1; NUP50	0
chr2	194924780	194925449	670	*	5.5	5.11	5.81	-0.71	0.000468	0.03	AC068135.1	31892
chr16	25059893	25060502	610	*	5.15	5.47	4.72	0.75	0.000468	0.03	RP11-266L9.4	0
chr3	119500375	119500747	373	*	4	3.33	4.45	-1.12	0.000469	0.03	NR1I2	0
chr19	14228471	14229665	1195	*	7.33	7.68	6.87	0.8	0.000469	0.03	PRKACA	0
chr22	29278902	29280232	1331	*	7.17	7.51	6.71	0.8	0.000469	0.03	ZNRF3	0
chr20	4129096	4130229	1134	*	6.08	6.34	5.77	0.57	0.00047	0.03	SMOX	0
chr4	1037162	1037898	737	*	5.13	5.48	4.67	0.82	0.000473	0.0301	RNF212	12139
chr3	14165680	14167675	1996	*	8.48	8.7	8.22	0.48	0.000473	0.0301	CHCHD4; TMEM43	0
chr12	18977114	18977723	610	*	5.69	5.32	5.98	-0.66	0.000473	0.0301	CAPZA3	84993
chr1	233085956	233086924	969	*	7.24	7.48	6.96	0.51	0.000473	0.0301	NTPCR	0
chr20	11203636	11203934	299	*	2.66	1.37	3.32	-1.95	0.000475	0.0302	RP4-734C18.1	10883
chr1	161128713	161129777	1065	*	6.61	6.86	6.32	0.53	0.000475	0.0302	RP11-297K8.2; USP21	0
chr9	33473583	33474273	691	*	6.54	6.84	6.17	0.67	0.00048	0.0305	NOL6	0
chr6	41701603	41703599	1997	*	7.69	7.96	7.35	0.61	0.00048	0.0305	TFEB; RP11-298J23.5	0
chr2	163810476	163810865	390	*	2.77	1.66	3.4	-1.74	0.000481	0.0305	KCNH7	115236
chrX	14057523	14057794	272	*	2.79	1.55	3.45	-1.9	0.000483	0.0306	GEMIN8	9511
chrX	139170017	139170427	411	*	2.87	1.77	3.49	-1.71	0.000484	0.0307	RN7SL727P	1710
chr7	27702106	27702939	834	*	7.74	7.97	7.46	0.5	0.000485	0.0307	HIBADH	0
chr18	18519197	18519411	215	*	4.91	5.27	4.43	0.84	0.000485	0.0307	ROCK1	7455
chr13	106971472	106971687	216	*	2.68	1.51	3.32	-1.82	0.000486	0.0307	LINC00460	57223
chr16	29302082	29302538	457	*	3.75	4.21	3.05	1.16	0.000489	0.0309	SNX29P2	0
chr17	259592	260426	835	*	6.94	7.28	6.5	0.78	0.00049	0.0309	AC108004.3; C17orf97	0
chr8	86848081	86848792	712	*	6.86	7.07	6.6	0.47	0.000492	0.031	CTA-392E5.1	3141
chr17	39844716	39845952	1237	*	7.83	8.23	7.28	0.94	0.000492	0.031	JUP; EIF1	0
chr7	113471426	113471907	482	*	3.31	2.37	3.88	-1.51	0.000492	0.031	PPP1R3A	44924
chr2	96810547	96811495	949	*	6.87	7.17	6.48	0.68	0.000494	0.0311	DUSP2; AC012307.2	0
chr18	33172135	33172807	673	*	4.86	4.35	5.23	-0.87	0.000495	0.0311	GALNT1	0
chr10	34004207	34004837	631	*	4.16	3.4	4.65	-1.25	0.000495	0.0311	RP13-259N13.2	28215
chr1	245026167	245027313	1147	*	8.55	8.86	8.17	0.69	0.000496	0.0311	HNRNPU	0
chr22	30782896	30783754	859	*	5.61	5.96	5.15	0.81	0.000496	0.0311	RNF215	0
chr6	53212593	53214196	1604	*	8.02	8.18	7.84	0.33	0.000497	0.0311	ELOVL5	0
chr2	61206375	61206758	384	*	4.58	4.04	4.97	-0.92	0.000498	0.0312	PUS10	0
chr9	135996263	135997637	1375	*	7.68	7.93	7.37	0.57	0.000499	0.0312	RALGDS	0
chr1	241473726	241474093	368	*	4.43	4.82	3.89	0.93	5e-04	0.0312	RGS7	0
chr2	25538873	25539425	553	*	4.99	5.35	4.53	0.82	0.000501	0.0312	DNMT3A	0
chrX	41192970	41194363	1394	*	6.67	7.05	6.16	0.89	0.000501	0.0312	DDX3X	0
chr9	117751221	117751682	462	*	4.41	4.83	3.82	1.01	0.000504	0.0314	TNC	31123
chr10	129862538	129863514	977	*	7.75	7.95	7.51	0.44	0.000504	0.0314	PTPRE	0
chr1	6259258	6260071	814	*	6.13	6.42	5.76	0.66	0.000505	0.0314	RPL22	0
chr1	45196140	45197240	1101	*	6.87	7.25	6.35	0.89	0.000507	0.0315	RNU5D-1	0
chr3	196502746	196503299	554	*	5.26	4.83	5.59	-0.76	0.00051	0.0317	PAK2	0
chr18	63740584	63740918	335	*	3.66	2.79	4.19	-1.4	0.00051	0.0317	PRPF19P1	3701
chr12	47601008	47601535	528	*	5.54	5.12	5.87	-0.74	0.000512	0.0317	PCED1B; PCED1B-AS1	0
chr19	10981477	10982613	1137	*	7.93	8.3	7.42	0.87	0.000514	0.0318	CARM1	0
chr1	33814826	33816189	1364	*	7.67	7.91	7.38	0.53	0.000515	0.0318	PHC2; RP11-415J8.5	0
chr4	164736931	164737390	460	*	4.12	3.48	4.57	-1.09	0.000515	0.0318	MARCH1	0
chr17	28705644	28706698	1055	*	6.31	6.55	6.03	0.53	0.000515	0.0318	CPD	0
chr1	29062901	29064226	1326	*	6.93	7.25	6.52	0.73	0.000517	0.0319	YTHDF2	0
chr3	49130728	49132257	1530	*	7.65	7.93	7.29	0.64	0.000517	0.0319	QRICH1	0
chr13	41634899	41636295	1397	*	6.87	7.18	6.46	0.73	0.000518	0.0319	ELF1; WBP4	0
chr15	60683399	60683709	311	*	4.18	4.59	3.6	0.99	0.000518	0.0319	ANXA2	0
chr2	56070325	56070887	563	*	5.37	4.92	5.72	-0.8	0.000518	0.0319	EFEMP1	22214
chr22	46465816	46467877	2062	*	8.1	8.5	7.55	0.94	0.000518	0.0319	FLJ27365	0
chr6	36390852	36391598	747	*	6.67	6.89	6.4	0.48	0.000519	0.0319	PXT1	0
chr6	121259723	121260618	896	*	4.76	4.21	5.16	-0.95	0.000519	0.0319	TBC1D32	140021
chr2	201390474	201391456	983	*	7.99	8.18	7.77	0.41	0.000519	0.0319	SGOL2	0
chr19	4723540	4724380	841	*	6.86	7.17	6.47	0.7	0.00052	0.0319	DPP9	0
chr15	44580704	44581626	923	*	6.36	6.62	6.06	0.56	0.000521	0.0319	CASC4	0
chr11	67396747	67398350	1604	*	7.3	7.63	6.86	0.78	0.000521	0.0319	NUDT8	0
chr17	33913983	33914848	866	*	5.51	5.81	5.12	0.69	0.000521	0.0319	AP2B1	0
chr18	48680032	48681075	1044	*	6.17	5.84	6.44	-0.6	0.000523	0.0319	SRSF10P1	3576
chr3	50374398	50375487	1090	*	7.47	7.77	7.1	0.66	0.000523	0.0319	RASSF1	0
chr16	8617631	8618092	462	*	5.69	5.98	5.31	0.67	0.000523	0.0319	TMEM114	1409
chr1	160509896	160510454	559	*	4.3	3.71	4.72	-1.01	0.000524	0.032	RP11-528G1.2	0
chr10	83851304	83851588	285	*	2.54	1.27	3.2	-1.94	0.000524	0.032	NRG3	0
